iter	RMSE
153	0.6829905397
154	0.6795028953
155	0.6778745845
156	0.6758496063
157	0.6739910929
158	0.6720291837
159	0.6702392395
160	0.6645941788
161	0.6587519997
162	0.657072956
163	0.6525837987
164	0.6512900363
165	0.6466424174
166	0.6438466663
167	0.6384317209
168	0.6336591556
169	0.6282708754
170	0.6249213744
171	0.6218519935
172	0.6197952232
173	0.6152097112
174	0.6118944959
175	0.609126683
176	0.6048870926
177	0.6015101972
178	0.6002893625
179	0.5962615642
180	0.5949340706
181	0.59364576
182	0.5925701356
183	0.5888869555
184	0.5876612334
185	0.5836994739
186	0.5824268081
187	0.5812709672
188	0.5803192019
189	0.5792519931
190	0.5778056599
191	0.5755573032
192	0.5744911874
193	0.57058949
194	0.569188742
195	0.5662521352
196	0.5647905673
197	0.5612479708
198	0.5604174132
199	0.5595576692
200	0.5566521081
201	0.555553731
202	0.5523496443
203	0.5492388198
204	0.5460678737
205	0.5449587496
206	0.5436733656
207	0.5427736137
208	0.5419172311
209	0.5408415791
210	0.5399179301
211	0.5390151322
212	0.5363054991
213	0.5337614991
214	0.5329030819
215	0.5315788916
216	0.530679845
217	0.5298812439
218	0.5292484753
219	0.5275579678
220	0.5269607506
221	0.524218086
222	0.5236408406
223	0.5230743299
224	0.5221938196
225	0.5214131182
226	0.5206068997
227	0.5199693748
228	0.5171690819
229	0.5150058983
230	0.5120904159
231	0.5110139541
232	0.5081074568
233	0.5051752874
234	0.5041821025
235	0.5032451723
236	0.5008691855
237	0.5004177566
238	0.4986742282
239	0.4969835335
240	0.4956102341
241	0.4951893222
242	0.4947763401
243	0.4943711445
244	0.4935204642
245	0.4915737464
246	0.4909331385
247	0.4883380143
248	0.4858751877
249	0.4849342995
250	0.4845745062
251	0.4840864724
252	0.4837400793
253	0.4813113849
254	0.4809767362
255	0.4806484435
256	0.4786534202
257	0.4765591224
258	0.4762447456
259	0.4739124077
260	0.4735020815
261	0.4732046811
262	0.4708009982
263	0.4694598184
264	0.4691764174
265	0.4687996041
266	0.4674639647
267	0.4652172346
268	0.4631871742
269	0.4616612346
270	0.460688532
271	0.4603194086
272	0.4582842511
273	0.4580429435
274	0.4562917165
275	0.455837802
276	0.4542675614
277	0.4539408228
278	0.4522780096
279	0.4518260055
280	0.4502941555
281	0.4487413632
282	0.4484279603
283	0.4481303295
284	0.4464865951
285	0.446211579
286	0.4446651966
287	0.4443726437
288	0.444031261
289	0.4420337425
290	0.4407155932
291	0.4394465846
292	0.4381715227
293	0.4369819925
294	0.4364733998
295	0.4362239293
296	0.435866098
297	0.4347303178
298	0.4343891356
299	0.4330228504
300	0.4317303324
301	0.4301605794
302	0.4290302375
303	0.4287064066
304	0.428396776
305	0.4267017323
306	0.4255305262
307	0.4247619339
308	0.4240430375
309	0.422898007
310	0.4216913692
311	0.4202896496
312	0.4195726115
313	0.419450129
314	0.4181097747
315	0.4167188826
316	0.4150167661
317	0.4136086755
318	0.4125614044
319	0.4122098609
320	0.4116537096
321	0.4108256217
322	0.4086843649
323	0.4076669834
324	0.4061028037
325	0.4049234913
326	0.4040171449
327	0.4020260817
328	0.4017206072
329	0.4014623135
330	0.4010912355
331	0.3995700693
332	0.3980662389
333	0.3957098197
334	0.3949116522
335	0.3934396665
336	0.3921569777
337	0.3917055614
338	0.3905430921
339	0.3884449969
340	0.3871245961
341	0.3860442701
342	0.3842368145
343	0.3829067118
344	0.3813823782
345	0.3800909022
346	0.3787389106
347	0.3775809364
348	0.3765037992
349	0.3754712891
350	0.3745664697
351	0.3728685006
352	0.3718547768
353	0.3705659575
354	0.3695802598
355	0.3678685913
356	0.3670339953
357	0.3658982602
358	0.3648608107
359	0.3639665612
360	0.3627727353
361	0.361382278
362	0.3605115379
363	0.3595023379
364	0.3583530243
365	0.3572289545
366	0.3555900648
367	0.3547417779
368	0.353919918
369	0.3531433583
370	0.3523662975
371	0.3514721246
372	0.3502834343
373	0.3496938824
374	0.3489869308
375	0.3473470505
376	0.3466012563
377	0.3452364184
378	0.3444316245
379	0.3428468122
380	0.341678887
381	0.3401850065
382	0.338884774
383	0.3383522654
384	0.3378363753
385	0.3368350749
386	0.3361517774
387	0.3353068115
388	0.3344814657
389	0.3331442694
390	0.3322906814
391	0.3316330579
392	0.3308309593
393	0.3295527727
394	0.3289497933
395	0.3279744657
396	0.3275546691
397	0.327118174
398	0.3257730078
399	0.3246911334
400	0.3241262279
401	0.3233488657
402	0.3229620675
403	0.3223416271
404	0.3217614959
405	0.3211088632
406	0.3204629146
407	0.3197222108
408	0.3187755403
409	0.318271092
410	0.3176272623
411	0.3162909809
412	0.315305044
413	0.314131386
414	0.3131530095
415	0.3120919787
416	0.3108407732
417	0.3097514341
418	0.3090561269
419	0.3083317771
420	0.3073302009
421	0.3066688731
422	0.3059496222
423	0.3054374205
424	0.3050178525
425	0.3043025555
426	0.3037417559
427	0.3023227461
428	0.3017910572
429	0.3011265568
430	0.3006374397
431	0.2993272381
432	0.2983797555
433	0.2978327827
434	0.2972012666
435	0.296303391
436	0.2951514436
437	0.2940181603
438	0.2933959256
439	0.292665181
440	0.2919084993
441	0.2905377688
442	0.2893754598
443	0.2888985324
444	0.2884167175
445	0.2877785751
446	0.287390207
447	0.2863627334
448	0.2857943955
449	0.2850059185
450	0.2842413359
451	0.283564796
452	0.2829092846
453	0.2819724755
454	0.2811733388
455	0.2799455662
456	0.2796739774
457	0.2787196065
458	0.278049771
459	0.2776565937
460	0.2771941891
461	0.2769620345
462	0.2758434751
463	0.2749753643
464	0.2741280209
465	0.2739852721
466	0.2735988435
467	0.2727390547
468	0.2719224759
469	0.2713840266
470	0.2705031142
471	0.2699769027
472	0.2696432909
473	0.269502912
474	0.2691834218
475	0.2684090484
476	0.2674410406
477	0.2666506329
478	0.26621581
479	0.265777044
480	0.2653063342
481	0.2646424493
482	0.2636765189
483	0.2634848904
484	0.2628191307
485	0.2621821935
486	0.2618348228
487	0.2615546491
488	0.2608668954
489	0.2600957139
490	0.2591149382
491	0.2587381654
492	0.2585200326
493	0.257947179
494	0.2569329486
495	0.2565684648
496	0.2560714012
497	0.2553156333
498	0.2545615933
499	0.2540701249
500	0.2535983359
501	0.2529232646
502	0.252580358
503	0.2519604929
504	0.2514013695
505	0.2507976635
506	0.250051215
507	0.2494716485
508	0.2491070868
509	0.2485942302
510	0.2479416022
511	0.2472221128
512	0.2465783128
513	0.2461891448
514	0.2459719934
515	0.2453726525
516	0.2451161637
517	0.2448970931
518	0.2440341806
519	0.2437205688
520	0.2431752061
521	0.2426951403
522	0.2421114961
523	0.241445182
524	0.240881006
525	0.2404656142
526	0.2397898433
527	0.2396306617
528	0.2391414558
529	0.2382950404
530	0.2377691234
531	0.2373222975
532	0.2369056728
533	0.2364256931
534	0.2359347265
535	0.2357060181
536	0.2350673192
537	0.2344538566
538	0.233785546
539	0.2335606348
540	0.2330932455
541	0.2327297305
542	0.2322984892
543	0.2319710119
544	0.2314357601
545	0.2309137648
546	0.2305552511
547	0.2299628847
548	0.2293674428
549	0.2287889715
550	0.228492776
551	0.2280925231
552	0.2279332619
553	0.2273905636
554	0.2270218174
555	0.226629084
556	0.2261584953
557	0.2258033872
558	0.2252805212
559	0.2247310899
560	0.2242646568
561	0.2237953467
562	0.2236098161
563	0.2232190561
564	0.2225777588
565	0.2219324347
566	0.2214041651
567	0.2211398729
568	0.2207532475
569	0.2203390301
570	0.220015476
571	0.2198245524
572	0.2195019491
573	0.2190344023
574	0.2184412549
575	0.2181175138
576	0.2177761627
577	0.2176136593
578	0.2173391317
579	0.216768168
580	0.2166031016
581	0.2164177381
582	0.2161836342
583	0.2156011747
584	0.215391372
585	0.2147982751
586	0.2142563175
587	0.2139441048
588	0.2133797094
589	0.213007736
590	0.2123961336
591	0.2118205864
592	0.2114668719
593	0.2108997704
594	0.2105655784
595	0.2099752815
596	0.2097497009
597	0.2094969925
598	0.209255182
599	0.2089402905
600	0.2086545186
601	0.2081457473
602	0.2079265349
603	0.2076503953
604	0.2071250743
605	0.2065345082
606	0.2063670566
607	0.206132967
608	0.2058712543
609	0.2055440501
610	0.2053206202
611	0.2049533174
612	0.2045898662
613	0.2040705979
614	0.2035903771
615	0.2035416065
616	0.2030677824
617	0.2027203629
618	0.2025648632
619	0.2022325514
620	0.2019309087
621	0.2017615989
622	0.2012805715
623	0.2009421806
624	0.2003942027
625	0.19978472
626	0.1995494546
627	0.1994457478
628	0.1989610909
629	0.1986820052
630	0.1982088721
631	0.1977299425
632	0.1975358625
633	0.1971441864
634	0.1966294784
635	0.1962026339
636	0.1957635203
637	0.1953016006
638	0.1950759004
639	0.1945685748
640	0.194106447
641	0.1937410238
642	0.1933229309
643	0.1931370699
644	0.1927090112
645	0.1924271532
646	0.1921269324
647	0.1916261364
648	0.191569688
649	0.1912707153
650	0.1909791606
651	0.1906533523
652	0.1905630597
653	0.190364623
654	0.1899486328
655	0.1895777234
656	0.1894636113
657	0.1890052161
658	0.1885550372
659	0.1882707074
660	0.1880457332
661	0.1878008863
662	0.1874187877
663	0.1869121611
664	0.1864696947
665	0.1862471208
666	0.1858795478
667	0.185711631
668	0.1856535181
669	0.1853342052
670	0.184923436
671	0.1847841446
672	0.1845805524
673	0.1841134254
674	0.1839730344
675	0.1835462106
676	0.1833328052
677	0.1832763644
678	0.1830339973
679	0.1828132354
680	0.1827746202
681	0.1824844245
682	0.1823023625
683	0.1821129918
684	0.1817386322
685	0.181366763
686	0.1811943471
687	0.1809115207
688	0.1804416945
689	0.1803346351
690	0.1798936261
691	0.1795903508
692	0.1792160425
693	0.1789544644
694	0.178554171
695	0.1781258636
696	0.17778936
697	0.1776764543
698	0.1773557634
699	0.1772007833
700	0.1770132753
701	0.1766631795
702	0.1763383334
703	0.1761019958
704	0.1759006174
705	0.1758784076
706	0.1757089081
707	0.1755007888
708	0.1753988929
709	0.175078659
710	0.1750194409
711	0.1746339061
712	0.1742408262
713	0.1738975948
714	0.1737029027
715	0.1733440857
716	0.1728911125
717	0.1725445753
718	0.17212826
719	0.1717567649
720	0.1716391865
721	0.1712981626
722	0.1709203122
723	0.1705628852
724	0.1703792474
725	0.1700303291
726	0.169696292
727	0.1694703613
728	0.1690760601
729	0.1687694219
730	0.1686260802
731	0.1683908783
732	0.1680330951
733	0.1678293195
734	0.1674902927
735	0.1671792159
736	0.1670054065
737	0.1665791708
738	0.1663673526
739	0.1661775418
740	0.1658049958
741	0.1656569571
742	0.1655174813
743	0.1653333008
744	0.1651892616
745	0.1649229119
746	0.1647415626
747	0.1644331935
748	0.1641898101
749	0.1638764208
750	0.1635889681
751	0.1633928372
752	0.1631102144
753	0.162767695
754	0.1625544504
755	0.1624157981
756	0.1622008303
757	0.16209164
758	0.16195901
759	0.1616177709
760	0.1612896711
761	0.1609852337
762	0.1606655541
763	0.1603544025
764	0.1601661417
765	0.1600113784
766	0.1597028639
767	0.1593758384
768	0.1592677801
769	0.1591526605
770	0.1588473605
771	0.1586869788
772	0.1586419788
773	0.158520215
774	0.1582751498
775	0.1581335377
776	0.1577821253
777	0.1574953996
778	0.1572440836
779	0.1569153208
780	0.1566490053
781	0.1563618472
782	0.1561244751
783	0.1559991976
784	0.1557433262
785	0.1555271979
786	0.1553020925
787	0.154990027
788	0.1546833225
789	0.1543928102
790	0.154226845
791	0.1539547934
792	0.1538387479
793	0.1536465846
794	0.1533632723
795	0.1531024903
796	0.1529899501
797	0.1528972979
798	0.1526151553
799	0.1522972415
800	0.1520543375
801	0.1517828044
802	0.1514845414
803	0.1513124109
804	0.1511080793
805	0.1508331313
806	0.1505838956
807	0.1502669469
808	0.1500251098
809	0.1497146271
810	0.1494696322
811	0.1491818993
812	0.148940417
813	0.1487254347
814	0.148617287
815	0.1483374789
816	0.1480794124
817	0.1479884503
818	0.1477844981
819	0.1476826896
820	0.1475646686
821	0.1474630952
822	0.1472282408
823	0.1469635768
824	0.1468308242
825	0.1466096639
826	0.1463470367
827	0.1460832827
828	0.1459505989
829	0.1457475294
830	0.1456471674
831	0.1456082919
832	0.1455144345
833	0.1453186299
834	0.144962414
835	0.1447613438
836	0.1446340164
837	0.1443461079
838	0.1440283317
839	0.1438062123
840	0.1436271369
841	0.1433823142
842	0.1432459763
843	0.1429223724
844	0.1426414079
845	0.1422982329
846	0.1422053955
847	0.1419791588
848	0.1417467601
849	0.1416135175
850	0.1414995595
851	0.1412963534
852	0.140964323
853	0.1406674673
854	0.140517814
855	0.1402834819
856	0.1400307766
857	0.1397631425
858	0.1395372313
859	0.1393177437
860	0.1391626465
861	0.1389755512
862	0.1388073346
863	0.1385428462
864	0.1383340523
865	0.1381602282
866	0.1379913447
867	0.1377271628
868	0.1375844865
869	0.1373881567
870	0.1371999158
871	0.1371165768
872	0.1368517093
873	0.1367449684
874	0.1366069836
875	0.1364627525
876	0.1362810701
877	0.1360821978
878	0.1359214086
879	0.1356863209
880	0.1355628007
881	0.1354394812
882	0.1351592844
883	0.1348650346
884	0.1346781114
885	0.1344185218
886	0.1342208234
887	0.1340559773
888	0.1337728518
889	0.1335175796
890	0.1332822818
891	0.1331238989
892	0.1329843598
893	0.1328620011
894	0.1327276105
895	0.1326575998
896	0.1324678219
897	0.1322856486
898	0.1320431469
899	0.1319227481
900	0.1317833724
901	0.1316217321
902	0.1314441809
903	0.1311802628
904	0.1309667289
905	0.1308229052
906	0.1307090978
907	0.1306134452
908	0.1303350819
909	0.1301391474
910	0.1300217439
911	0.1298041255
912	0.1296387411
913	0.1295664947
914	0.1293233112
915	0.1290926215
916	0.1288675567
917	0.1286938616
918	0.1285551803
919	0.1284139427
920	0.1282935622
921	0.128086486
922	0.1278251829
923	0.1276305913
924	0.1274044474
925	0.1273015692
926	0.1270533186
927	0.1268990465
928	0.1267909352
929	0.1266083102
930	0.1264607723
931	0.1262554874
932	0.1260415829
933	0.1258498315
934	0.1256812189
935	0.1255534491
936	0.1253488447
937	0.125323182
938	0.1251132478
939	0.1249614633
940	0.1247739352
941	0.1245316164
942	0.1243754906
943	0.1242519169
944	0.1240670295
945	0.1239067988
946	0.1238148965
947	0.1237225467
948	0.1235877202
949	0.123372661
950	0.1232991748
951	0.1231100702
952	0.1229072286
953	0.1227331626
954	0.1225857022
955	0.1223091423
956	0.1221125673
957	0.1219820189
958	0.1219019205
959	0.1217282369
960	0.1215056522
961	0.1213509793
962	0.1212082497
963	0.1211178052
964	0.1209241112
965	0.1208375697
966	0.1207627958
967	0.1206086223
968	0.1204951426
969	0.1203076739
970	0.1201663825
971	0.1200147744
972	0.1197958399
973	0.1196657172
974	0.1194927366
975	0.1193430843
976	0.1191711234
977	0.1189908205
978	0.1189098116
979	0.1187524889
980	0.1186527619
981	0.1184660612
982	0.1183073905
983	0.1181950984
984	0.1179948454
985	0.117865685
986	0.1178132449
987	0.1177090276
988	0.11757129
989	0.117470395
990	0.1173447961
991	0.1172743352
992	0.1171977839
993	0.1170673935
994	0.1169484747
995	0.1168596774
996	0.1166589964
997	0.1164850081
998	0.1163631407
999	0.11618163
